state_constituency_id,state_constituency_name,state_id,lga_id
SC_265_DT,Ughelli South,ST_DE,LGA_DE_UGHELLI_SOUTH
SC_266_DT,Ukwuani,ST_DE,LGA_DE_UKWUANI
SC_267_DT,Uvwie,ST_DE,LGA_DE_UVWIE
SC_268_DT,Warri North,ST_DE,LGA_DE_WARRI_NORTH
SC_269_DT,Warri South I,ST_DE,LGA_DE_WARRI_SOUTH
SC_270_DT,Warri South II,ST_DE,LGA_DE_WARRI_SOUTH
SC_271_DT,Warri South-West,ST_DE,LGA_DE_WARRI_SOUTH_WEST
SC_272_EB,Abakaliki North,ST_EB,LGA_EB_ABAKALIKI
SC_273_EB,Abakaliki South,ST_EB,LGA_EB_ABAKALIKI
SC_274_EB,Afikpo North East,ST_EB,LGA_EB_AFIKPO_NORTH
SC_275_EB,Afikpo North West,ST_EB,LGA_EB_AFIKPO_NORTH
SC_276_EB,Afikpo South East,ST_EB,LGA_EB_AFIKPO_SOUTH
SC_277_EB,Afikpo South West,ST_EB,LGA_EB_AFIKPO_SOUTH
SC_278_EB,Ebonyi North East,ST_EB,LGA_EB_EBONYI
SC_279_EB,Ebonyi North West,ST_EB,LGA_EB_EBONYI
SC_280_EB,Ezza North East,ST_EB,LGA_EB_EZZA_NORTH
SC_281_EB,Ezza North West,ST_EB,LGA_EB_EZZA_NORTH
SC_282_EB,Ezza South,ST_EB,LGA_EB_EZZA_SOUTH
SC_283_EB,Ikwo North,ST_EB,LGA_EB_IKWO
SC_284_EB,Ikwo South,ST_EB,LGA_EB_IKWO
SC_285_EB,Ishielu North,ST_EB,LGA_EB_ISHIELU
SC_286_EB,Ishielu South,ST_EB,LGA_EB_ISHIELU
SC_287_EB,Ivo,ST_EB,LGA_EB_IVO
SC_288_EB,Izzi East,ST_EB,LGA_EB_IZZI
SC_289_EB,Izzi West,ST_EB,LGA_EB_IZZI
SC_290_EB,Ohaozara East,ST_EB,LGA_EB_OHAOZARA
SC_291_EB,Ohaozara West,ST_EB,LGA_EB_OHAOZARA
SC_292_EB,Onicha East,ST_EB,LGA_EB_ONICHA
SC_293_EB,Onicha West,ST_EB,LGA_EB_ONICHA
SC_294_EB,Ohaukwu North,ST_EB,LGA_EB_OHAUKWU
SC_295_EB,Ohaukwu South,ST_EB,LGA_EB_OHAUKWU
SC_296_ED,Akoko Edo I,ST_ED,LGA_ED_AKOKO_EDO
SC_297_ED,Akoko Edo II,ST_ED,LGA_ED_AKOKO_EDO
SC_298_ED,Esan Central,ST_ED,LGA_ED_ESAN_CENTRAL
SC_299_ED,Esan West,ST_ED,LGA_ED_ESAN_WEST
SC_300_ED,Esan North East I,ST_ED,LGA_ED_ESAN_NORTH_EAST
SC_301_ED,Esan North East II,ST_ED,LGA_ED_ESAN_NORTH_EAST
SC_302_ED,Essan South East,ST_ED,LGA_ED_ESAN_CENTRAL
SC_303_ED,Etsako Central,ST_ED,LGA_ED_ETSAKO_CENTRAL
SC_304_ED,Etsako East,ST_ED,LGA_ED_ETSAKO_EAST
SC_305_ED,Etsako West I,ST_ED,LGA_ED_ETSAKO_WEST
SC_306_ED,Etsako West II,ST_ED,LGA_ED_ETSAKO_WEST
SC_307_ED,Egor,ST_ED,LGA_ED_EGOR
SC_308_ED,Ikpoba-Okha,ST_ED,LGA_ED_IKPOBA_OKHA
SC_309_ED,Igueben,ST_ED,LGA_ED_IGUEBEN
SC_310_ED,Oredo East,ST_ED,LGA_ED_OREDO
SC_311_ED,Oredo West,ST_ED,LGA_ED_OREDO
SC_312_ED,Orhionmwon I,ST_ED,LGA_ED_ORHIONMWON
SC_313_ED,Orhionmwon II,ST_ED,LGA_ED_ORHIONMWON
SC_314_ED,Ovia North East I,ST_ED,LGA_ED_OVIA_NORTH_EAST
SC_315_ED,Ovia North East II,ST_ED,LGA_ED_OVIA_NORTH_EAST
SC_316_ED,Ovia South West,ST_ED,LGA_ED_OVIA_SOUTH_WEST
SC_317_ED,Owan East,ST_ED,LGA_ED_OWAN_EAST
SC_318_ED,Owan West,ST_ED,LGA_ED_OWAN_WEST
SC_319_ED,Uhunmwonde,ST_ED,LGA_ED_UHUNMWONDE
SC_320_EK,Ado I,ST_EK,LGA_EK_ADO_EKITI
SC_321_EK,Ado II,ST_EK,LGA_EK_ADO_EKITI
SC_322_EK,Gbonyin,ST_EK,LGA_EK_GBONYIN
SC_323_EK,Efon,ST_EK,LGA_EK_EFON
SC_324_EK,Ekiti East I,ST_EK,LGA_EK_EKITI_EAST
SC_325_EK,Ekiti East II,ST_EK,LGA_EK_EKITI_EAST
SC_326_EK,Ekiti West I,ST_EK,LGA_EK_EKITI_WEST
SC_327_EK,Ekiti West II,ST_EK,LGA_EK_EKITI_WEST
SC_328_EK,Ekiti South West I,ST_EK,LGA_EK_EKITI_SOUTH_WEST
SC_329_EK,Ekiti South West II,ST_EK,LGA_EK_EKITI_SOUTH_WEST
SC_330_EK,Emure,ST_EK,LGA_EK_EMURE
SC_331_EK,Ido/Osi I,ST_EK,LGA_EK_IDO_OSI
SC_332_EK,Ido/Osi II,ST_EK,LGA_EK_IDO_OSI
SC_333_EK,Ijero,ST_EK,LGA_EK_IJERO
SC_334_EK,Ikere I,ST_EK,LGA_EK_IKERE
SC_335_EK,Ikere II,ST_EK,LGA_EK_IKERE
SC_336_EK,Ikole I,ST_EK,LGA_EK_IKOLE
SC_337_EK,Ikole II,ST_EK,LGA_EK_IKOLE
SC_338_EK,Ilejemeje,ST_EK,LGA_EK_ILEJEMEJE
SC_339_EK,Irepodun/Ifelodun I,ST_EK,LGA_EK_IREPODUN_IFELODUN
SC_340_EK,Irepodun/Ifelodun II,ST_EK,LGA_EK_IREPODUN_IFELODUN
SC_341_EK,Ise/Orun,ST_EK,LGA_EK_ISE_ORUN
SC_342_EK,Moba I,ST_EK,LGA_EK_MOBA
SC_343_EK,Moba II,ST_EK,LGA_EK_MOBA
SC_344_EK,Oye I,ST_EK,LGA_EK_OYE
SC_345_EK,Oye II,ST_EK,LGA_EK_OYE
SC_346_EN,Aniniri,ST_EN,LGA_EN_ANINRI
